externalReference;ownerName;fullWidth_mm;fullHeight_mm;requiredLength;tolerance;quantity;leftCount;rightCount;requiredColorName;materialBarCode;relevantDim;isMeasurementNeeded;dueDate;typeCode;subtypeCode;attributes;surface;calcMode
"5555";"Teszt Elek";1000;2000;970;;1;0;1;"RAL 7016";NP-T-7016;Width;false;2026-09-17;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5555";"Teszt Elek";1000;2000;995;;1;0;1;"RAL 7016";NP-TF-7016;Width;false;2026-09-17;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5555";"Teszt Elek";1000;2000;877;;1;0;1;"RAL 7016";NP-CZ-7016;Width;false;2026-09-17;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5555";"Teszt Elek";1000;2000;1897;;1;0;1;"RAL 7016";NP-CL2+CLT2+CLB2;Width;false;2026-09-17;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5555";"Teszt Elek";1000;2000;890;;1;0;1;"RAL 7016";NP-ROLL70-5000;Width;false;2026-09-17;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5555";"Teszt Elek";1000;2000;825;;1;0;1;"RAL 7016";NP-BAR20-6000;Width;false;2026-09-17;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5556";"Teszt Elek";1000;2000;970;;1;0;1;"RAL 7016";NP-T-7016;Width;false;2026-09-17;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5556";"Teszt Elek";1000;2000;995;;1;0;1;"RAL 7016";NP-TF-7016;Width;false;2026-09-17;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5556";"Teszt Elek";1000;2000;877;;1;0;1;"RAL 7016";NP-CZ-7016;Width;false;2026-09-17;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5556";"Teszt Elek";1000;2000;1897;;1;0;1;"RAL 7016";NP-CL2+CLT2+CLB2;Width;false;2026-09-17;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5556";"Teszt Elek";1000;2000;890;;1;0;1;"RAL 7016";NP-ROLL70-5000;Width;false;2026-09-17;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5556";"Teszt Elek";1000;2000;825;;1;0;1;"RAL 7016";NP-BAR20-6000;Width;false;2026-09-17;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5556";"Teszt Elek";1000;2000;825;;1;0;1;"RAL 7016";NP-BAR20-6000;Width;false;2026-09-17;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5557";"Teszt Elek";1000;2000;970;;1;0;1;"RAL 7016";NP-T-7016;Width;false;2026-09-17;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5557";"Teszt Elek";1000;2000;995;;1;0;1;"RAL 7016";NP-TF-7016;Width;false;2026-09-17;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5557";"Teszt Elek";1000;2000;877;;1;0;1;"RAL 7016";NP-CZ-7016;Width;false;2026-09-17;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5557";"Teszt Elek";1000;2000;1897;;1;0;1;"RAL 7016";NP-CL2+CLT2+CLB2;Width;false;2026-09-17;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5557";"Teszt Elek";1000;2000;890;;1;0;1;"RAL 7016";NP-ROLL70-5000;Width;false;2026-09-17;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5557";"Teszt Elek";1000;2000;825;;1;0;1;"RAL 7016";NP-BAR20-6000;Width;false;2026-09-17;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5558";"Teszt  Elek";2000;3000;1970;;1;0;1;"RAL 9010";NP-T-9010;Width;false;2026-09-24;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5558";"Teszt  Elek";2000;3000;1995;;1;0;1;"RAL 9010";NP-TF-9010;Width;false;2026-09-24;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5558";"Teszt  Elek";2000;3000;1877;;1;0;1;"RAL 9010";NP-CZ-9010;Width;false;2026-09-24;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5558";"Teszt  Elek";2000;3000;2897;;1;0;1;"RAL 9010";NP-CL2+CLT2+CLB2-9010;Width;false;2026-09-24;NP;CIP;meghajtas=motoros;Unknown;Unknown
"5558";"Teszt  Elek";2000;3000;1890;;1;0;1;"RAL 9010";NP-ROLL70-5000;Width;false;2026-09-24;NP;CIP;meghajtas=motoros;Unknown;Unknown
